_meta_key,_meta_value
APICall::Landroid/app/LocaleManager.getSystemLocales(),1
APICall::Landroid/app/LocaleManager.setApplicationLocales(),1
APICall::Landroid/app/Notification$Action$Builder.<init>(),1
APICall::Landroid/app/Notification$Action$Builder.addExtras(),1
APICall::Landroid/app/Notification$Action$Builder.addRemoteInput(),1
APICall::Landroid/app/Notification$Action$Builder.build(),1
APICall::Landroid/app/Notification$Action$Builder.setAllowGeneratedReplies(),1
APICall::Landroid/app/Notification$Action$Builder.setAuthenticationRequired(),1
APICall::Landroid/app/Notification$Action$Builder.setContextual(),1
APICall::Landroid/app/Notification$Action$Builder.setSemanticAction(),1
APICall::Landroid/app/Notification$Action.getAllowGeneratedReplies(),1
APICall::Landroid/app/Notification$Action.getExtras(),1
APICall::Landroid/app/Notification$Action.getIcon(),1
APICall::Landroid/app/Notification$Action.getRemoteInputs(),1
APICall::Landroid/app/Notification$Action.getSemanticAction(),1
APICall::Landroid/app/Notification$Action.isAuthenticationRequired(),1
APICall::Landroid/app/Notification$Action.isContextual(),1
APICall::Landroid/app/Notification$BigPictureStyle.<init>(),1
APICall::Landroid/app/Notification$BigPictureStyle.bigLargeIcon(),1
APICall::Landroid/app/Notification$BigPictureStyle.bigPicture(),1
APICall::Landroid/app/Notification$BigPictureStyle.setBigContentTitle(),1
APICall::Landroid/app/Notification$BigPictureStyle.setContentDescription(),1
APICall::Landroid/app/Notification$BigPictureStyle.setSummaryText(),1
APICall::Landroid/app/Notification$BigPictureStyle.showBigPictureWhenCollapsed(),1
APICall::Landroid/app/Notification$BigTextStyle.<init>(),1
APICall::Landroid/app/Notification$BigTextStyle.bigText(),1
APICall::Landroid/app/Notification$BigTextStyle.setBigContentTitle(),1
APICall::Landroid/app/Notification$BigTextStyle.setSummaryText(),1
APICall::Landroid/app/Notification$BubbleMetadata$Builder.<init>(),1
APICall::Landroid/app/Notification$BubbleMetadata$Builder.build(),1
APICall::Landroid/app/Notification$BubbleMetadata$Builder.setAutoExpandBubble(),1
APICall::Landroid/app/Notification$BubbleMetadata$Builder.setDeleteIntent(),1
APICall::Landroid/app/Notification$BubbleMetadata$Builder.setDesiredHeight(),1
APICall::Landroid/app/Notification$BubbleMetadata$Builder.setDesiredHeightResId(),1
APICall::Landroid/app/Notification$BubbleMetadata$Builder.setIcon(),1
APICall::Landroid/app/Notification$BubbleMetadata$Builder.setIntent(),1
APICall::Landroid/app/Notification$BubbleMetadata$Builder.setSuppressNotification(),1
APICall::Landroid/app/Notification$BubbleMetadata.getAutoExpandBubble(),1
APICall::Landroid/app/Notification$BubbleMetadata.getDeleteIntent(),1
APICall::Landroid/app/Notification$BubbleMetadata.getDesiredHeight(),1
APICall::Landroid/app/Notification$BubbleMetadata.getDesiredHeightResId(),1
APICall::Landroid/app/Notification$BubbleMetadata.getIcon(),1
APICall::Landroid/app/Notification$BubbleMetadata.getIntent(),1
APICall::Landroid/app/Notification$BubbleMetadata.getShortcutId(),1
APICall::Landroid/app/Notification$BubbleMetadata.isNotificationSuppressed(),1
APICall::Landroid/app/Notification$Builder.<init>(),1
APICall::Landroid/app/Notification$Builder.addAction(),1
APICall::Landroid/app/Notification$Builder.addPerson(),1
APICall::Landroid/app/Notification$Builder.build(),1
APICall::Landroid/app/Notification$Builder.createContentView(),1
APICall::Landroid/app/Notification$Builder.createHeadsUpContentView(),1
APICall::Landroid/app/Notification$Builder.recoverBuilder(),1
APICall::Landroid/app/Notification$Builder.setAllowSystemGeneratedContextualActions(),1
APICall::Landroid/app/Notification$Builder.setAutoCancel(),1
APICall::Landroid/app/Notification$Builder.setBadgeIconType(),1
APICall::Landroid/app/Notification$Builder.setBubbleMetadata(),1
APICall::Landroid/app/Notification$Builder.setCategory(),1
APICall::Landroid/app/Notification$Builder.setColor(),1
APICall::Landroid/app/Notification$Builder.setColorized(),1
APICall::Landroid/app/Notification$Builder.setContent(),1
APICall::Landroid/app/Notification$Builder.setContentInfo(),1
APICall::Landroid/app/Notification$Builder.setContentIntent(),1
APICall::Landroid/app/Notification$Builder.setContentText(),1
APICall::Landroid/app/Notification$Builder.setContentTitle(),1
APICall::Landroid/app/Notification$Builder.setCustomBigContentView(),1
APICall::Landroid/app/Notification$Builder.setCustomContentView(),1
APICall::Landroid/app/Notification$Builder.setCustomHeadsUpContentView(),1
APICall::Landroid/app/Notification$Builder.setDefaults(),1
APICall::Landroid/app/Notification$Builder.setDeleteIntent(),1
APICall::Landroid/app/Notification$Builder.setExtras(),1
APICall::Landroid/app/Notification$Builder.setForegroundServiceBehavior(),1
APICall::Landroid/app/Notification$Builder.setFullScreenIntent(),1
APICall::Landroid/app/Notification$Builder.setGroup(),1
